ex_id,conv_id,text,brand_reply,intent,route,reply_canned,reply_retrieval,reply_llm_rag
95,542191,@AmazonHelp Paid extra for one day delivery and still isnt out for delivery for today... what the the point,@245827 Hi there! Has the delivery missed the date listed in the confirmation e-mail? ^AP,ORDER_STATUS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Also, please don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2 ^RS","We understand this is frustrating, and we apologize for the delay. Please reach out to us via secure message at <link> so we can look into this for you. ^JS"
15,1003702,Why there is moto c plus in mobile exchange list @AmazonHelp,"@313372 I'm unable to comprehend your concern, Could you please elaborate this? ^VR",OTHER,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,The quality in which the title is downloaded depends on the content provider. Appreciate your understanding. ^VN,"For the most accurate information regarding trade-in eligibility, please visit our secure support site here: <link>. We're happy to help guide you through the process! ^JS"
30,229119,"@AmazonHelp hi yeah, you've taken money out of my account twice for one thing",@170638 Hi Sophie. Can you please use this link to provide details and I'll investigate this for you: ^RL,REFUND,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,I'm sorry for the inconvenience! We'd like to look into this further. You can reach us here: https://t.co/hApLpMlfHN ^LJ,I'm so sorry to hear about this unexpected charge. Please send us a direct message with more details so we can look into it for you ^JD.
158,2367997,@AmazonHelp why did I get charged $40 for cancelling my prime membership? I cancelled it because I didn't have $10.99. this is unacceptable,@683430 I'm very sorry for this issue. We can't view account info via Twitter so please let us look into this with you here: ^DO,PAYMENT,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ",We're sorry for any confusion regarding your membership charge. Please send us a direct message or visit our secure support page here to review your billing details: <link>^AJ
128,892730,@AmazonHelp Hi. I have issues regarding exchange of mobile fone. can your agent reach out to me on call?,"@331979 Kindly connect with our support team here: , for assistance. ^MA",RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,it and the team would reach out to you. (2/2) ^KA,We can definitely help you with your exchange issue! Please send us a direct message with more details so we can assist you securely. ^AJ
115,1084989,"@AmazonHelp @127187 @115851 Order# 405-2964732-9352306 Replacement Not Provided for the Stone Delivery instead of Mobile, Sufferring Loss of 7,500 for Fresh Order. Return Initiated without any Resolution or Compensation. Diwali Gift Ruined by Amazon","@344751 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP",DAMAGED_OR_WRONG,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.^VN(2/2)",We are so sorry for the trouble with your order. Please send us a direct message with your details so we can look into this for you. ^AG
69,737159,@AmazonHelp I have raised a return request 408-7456269-9685902 can you check is it refund or replacement?,@192726 order/account details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),RETURN_CANCEL,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH,"For checking the status of your return, please visit our secure support center at <link>. We're happy to help with any other questions there! ^AG"
170,2468574,Why does my @AmazonHelp app always do this? Literally every time I use it it does this...,"@706256 Hi Craig, I'm sorry for the troubles when using the app! Have you tried uninstalling then reinstalling the app? ^AB",APP_WEBSITE,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"I'm not sure what you mean, can you specify? ^AS",We're sorry you're running into this issue! Please send us a direct message with more details so we can look into it for you: <link> ^AJ
174,1616271,Seriously guys!? @115850 @AmazonHelp @123644 @115821 #Amazon,"@495663 Seller fulfilled items are dispatched directly by sellers. These items are indicated by the message ""Sold and fulfilled by a seller. Also, the delivery charges are decided by the sellers. I'll be sure to pass on your feedback. ^AK",OTHER,human,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"こちらの作品でしょうか。https://t.co/0PCshUnB1r
こちらはプライム・ビデオ対象作品ではなく、有料レンタルで視聴いただけるコンテンツです。こちらのヘルプページをご参照ください。https://t.co/qBKyVQ6wJs RI",Hello! We're sorry to hear you're having a frustrating experience. Please send us a direct message or visit our support center at <link> so we can assist you privately. ^AM
45,641799,@AmazonHelp how are your delivery drivers allowed to just leave parcels on the doorstep in clear sight of everyone who walks past giving them the opportunity to take it...really not impressed. At least put it in the back garden or something...,@272311 I'm sorry your parcels haven't been left in a safe location! Have you designated a safe place for deliveries when you're not in? You can find out more about this here: ^KH,DELIVERY_ADDRESS,auto,We're sorry for the trouble. Please get in touch with us here: <link> and we'll be happy to help. ^AG,"Hi, please fill out this form: https://t.co/tkLCr7DNil so a member of our team can look into this for you. ^JJ",We sincerely apologize for the concern about your deliveries! Please send us a direct message with more details so we can look into this for you. ^AG
