ex_id,conv_id,text,brand_reply,intent,route
0,2289800,"@AmazonHelp @115850 Amagent refusing delivery packets in Chaura Raghunath our village sector 22 noida, reason no House no for village. Now @89854 having new rule .. lol","@665206 That's Odd! We'd like to have this checked, kindly report it to our support team here: & we'll look into it. ^EM",DELIVERY_ADDRESS,auto
1,1614178,"Hey @AmazonHelp I got an echo before it launched in India and I'm still on the uk server, how do I get it to work for india?",@169982 We'll be happy to help. Kindly connect with us here: ^SG,OTHER,auto
2,1072586,@115821 @AmazonHelp A customer service representative just hung up on my husband while trying to resolve an issue w/our order.,"@173374 I'm sorry to hear this, Maura! We'd like another chance to better assist. What seems to be the issue? We're happy to help! ^BT",SERVICE_COMPLAINT,human
3,2271494,@AmazonHelp This is the last tweet i am doing and I just wanna ask you will i get my refund or not . 4kj,@353737 You will surely receive your refund. Please communicate with us by responding to our email and we'll check for an update. ^NR,REFUND,human
4,785072,@AmazonHelp need a call back regarding Customer service issue. @115850,@307346 Please get in touch with us here: and we'll be glad to help you. ^AU,SERVICE_COMPLAINT,human
5,254035,@AmazonHelp apalling service from Amazon on National Customer Service week! Final straw is not getting my 2 hr call back from some1 in UK!,@176383 Oh no! We'd like to help in any way we can. Do you mind telling us the initial reason for the call? ^NM,SERVICE_COMPLAINT,human
6,2397281,"@AmazonHelp Hiya, another Kids Edition HD8 question, how can I get music on there for the kids on THEIR profile???!","@672634 Hi Stu, music can not be added to a Fire for kids profile. You can find detail's on removing and adding content on the Fire for kids profile by clicking here: ^BZ",OTHER,auto
7,698818,It has been 9 days still didn't get echo invitation It is becoming embracing @121284 @115850 @AmazonHelp,"@286682 Due to heavy demand, we send out a limited number of invites each week. Keep an eye on your inbox. 2/2 ^EM",OTHER,auto
8,435702,@83621 @115830 @AmazonHelp I have a letterbox. Why did your a**hole delivery driver force my door breaking it to leave a card?,@218497 I'm very sorry about this! We'd like to look into this further. Please reach out to us here: ^HM,DELIVERY_ADDRESS,human
9,957927,@AmazonHelp another failed delivery. Why is shipping locally out of New Jersey to Jersey residents so difficult for you?,@347296 I'm sorry for the reoccurring delivery issues. Are you noticing this trend with a certain carrier: ? ^GG,ORDER_STATUS,auto
10,158681,@AmazonHelp not sure I'd say outside my front door is my safe space this is a regular theme guessing new drivers again . Done same to my neighbour to,"@152479 I'm sorry about this delivery experience! Have you set your safe place yet? If not, you can do so here: ^TR",DELIVERY_ADDRESS,auto
11,2226447,@115850 @AmazonHelp Got one of my order today. But received damaged item. See DM for order number and pics.,@649925 We've responded to your query over DM. Kindly check. ^SY,DAMAGED_OR_WRONG,auto
